Instrument,Quote,Underlying,Start date,Maturity date,Settlement days,Convention,End of month
Depo ON,0.040,Euribor1D,11 Dec 2012,12 Dec 2012,0,Following,False
Depo TN,0.040,Euribor1D,12 Dec 2012,13 Dec 2012,1,Following,False
Depo SN,0.040,Euribor1D,13 Dec 2012,14 Dec 2012,2,Following,False
Depo 1W,0.070,Euribor1W,13 Dec 2012,20 Dec 2012,2,Following,False
Depo 2W,0.080,Euribor2W,13 Dec 2012,27 Dec 2012,2,Following,False
Depo 3W,0.110,Euribor3W,13 Dec 2012,3 Jan 2013,2,Following,False
Depo 1M,0.110,Euribor1M,13 Dec 2012,14 Jan 2013,2,Mod.Following,True
Depo 2M,0.140,Euribor2M,13 Dec 2012,13 Feb 2013,2,Mod.Following,True
Depo 3M,0.180,Euribor3M,13 Dec 2012,13 Mar 2013,2,Mod.Following,True
Depo 4M,0.220,Euribor4M,13 Dec 2012,15 Apr 2013,2,Mod.Following,True
Depo 5M,0.270,Euribor5M,13 Dec 2012,13 May 2013,2,Mod.Following,True
Depo 6M,0.320,Euribor6M,13 Dec 2012,13 Jun 2013,2,Mod.Following,True
Depo 7M,0.350,Euribor7M,13 Dec 2012,15 Jul 2013,2,Mod.Following,True
Depo 8M,0.390,Euribor8M,13 Dec 2012,13 Aug 2013,2,Mod.Following,True
Depo 9M,0.420,Euribor9M,13 Dec 2012,13 Sep 2013,2,Mod.Following,True
Depo 10M,0.460,Euribor10M,13 Dec 2012,14 Oct 2013,2,Mod.Following,True
Depo 11M,0.500,Euribor11M,13 Dec 2012,13 Nov 2013,2,Mod.Following,True
Depo 12M,0.540,Euribor12M,13 Dec 2012,13 Dec 2013,2,Mod.Following,True